init_node,term_node,capacity,length
127,350,1.8,0.5
128,127,7.2,0.621643949
129,128,7.2,0.316191656
130,129,7.2,0.272614622
130,324,1.8,0.5
131,130,7.2,0.8614209
132,131,7.2,0.316191656
132,314,1.8,0.5
133,132,7.2,0.468814539
134,133,7.2,0.349029327
135,134,7.2,0.272614622
135,298,1.8,0.5
136,135,7.2,0.152622883
137,136,7.2,0.632383313
138,60,9.0,0.333333333
138,137,7.2,0.130937629
138,236,9.0,0.333333333
139,138,7.2,1.090458488
140,139,7.2,0.272614622
140,265,1.8,0.5
141,140,7.2,0.937835605
142,72,7.2,0.333333333
142,76,7.2,0.333333333
143,142,7.2,0.937835605
144,143,7.2,0.272614622
144,264,1.8,0.5
145,144,7.2,0.894258571
146,145,7.2,0.119991739
147,57,9.0,0.333333333
147,146,7.2,0.763320942
148,147,7.2,0.229037588
149,148,7.2,0.272614622
149,297,1.8,0.5
150,149,7.2,0.349029327
151,150,7.2,0.229037588
152,151,7.2,0.621643949
152,310,1.8,0.5
153,152,7.2,0.697852127
154,153,7.2,0.272614622
154,323,1.8,0.5
155,154,7.2,0.316191656
156,155,7.2,0.621643949
157,156,7.2,0.272614622
157,349,1.8,0.5
158,157,7.2,0.8614209
159,158,7.2,0.272614622
159,365,1.8,0.5
160,159,7.2,0.8614209
161,160,7.2,0.272614622
161,381,1.8,0.5
162,161,7.2,0.621643949
163,162,7.2,0.545229244
164,163,7.2,0.272614622
164,399,1.8,0.5
165,164,7.2,1.090458488
166,6,9.0,1.090458488
167,166,7.2,1.090458488
168,167,7.2,0.272614622
168,409,1.8,0.5
169,168,7.2,0.774266832
170,169,7.2,0.349029327
171,170,7.2,0.065468815
171,216,7.2,0.333333333
172,171,7.2,0.283560512
172,393,1.8,0.5
173,172,7.2,0.50165221
174,173,7.2,0.229037588
175,174,7.2,0.272614622
175,377,1.8,0.5
176,175,7.2,0.817843866
177,176,7.2,0.272614622
177,360,1.8,0.5
178,177,7.2,0.817843866
179,178,7.2,0.272614622
179,336,1.8,0.5
180,179,7.2,1.908302354
181,180,7.2,0.272614622
181,307,1.8,0.5
182,181,7.2,0.152622883
183,182,7.2,0.392606361
184,92,7.2,0.333333333
184,112,7.2,0.333333333
184,183,7.2,0.392606361
185,184,7.2,0.741429162
186,185,7.2,0.392606361
187,186,7.2,0.272614622
187,272,1.8,0.5
188,187,7.2,0.894258571
189,188,7.2,0.774266832
190,63,7.2,0.333333333
190,85,7.2,0.333333333
191,190,7.2,0.774266832
192,191,7.2,0.894258571
193,192,7.2,0.272614622
193,271,1.8,0.5
194,193,7.2,0.392606361
195,194,7.2,0.741429162
196,92,7.2,0.333333333
196,112,7.2,0.333333333
196,195,7.2,0.392606361
197,196,7.2,0.392606361
198,197,7.2,0.152622883
199,198,7.2,0.272614622
199,306,1.8,0.5
200,199,7.2,1.908302354
201,200,7.2,0.272614622
201,335,1.8,0.5
202,201,7.2,0.817843866
203,202,7.2,0.272614622
203,359,1.8,0.5
204,203,7.2,0.817843866
205,204,7.2,0.272614622
205,376,1.8,0.5
206,205,7.2,0.229037588
207,206,7.2,0.50165221
208,207,7.2,0.283560512
209,208,7.2,0.065468815
209,392,1.8,0.5
210,209,7.2,0.349029327
210,250,7.2,0.333333333
211,210,7.2,0.774266832
212,211,7.2,0.272614622
212,408,1.8,0.5
213,212,7.2,1.090458488
214,7,9.0,1.090458488
215,214,9.0,1.090458488
216,215,9.0,0.392606361
217,169,7.2,0.333333333
217,216,9.0,0.588806278
218,217,9.0,0.283560512
218,392,1.8,0.5
219,218,9.0,0.774266832
220,219,9.0,0.50165221
220,363,1.8,0.5
221,220,9.0,1.166873193
222,221,9.0,0.316191656
223,222,9.0,0.425237505
223,346,1.8,0.5
224,223,9.0,0.970466749
225,224,9.0,0.621643949
225,330,1.8,0.5
226,225,9.0,0.937835605
227,226,9.0,0.392606361
227,311,1.8,0.5
228,227,9.0,1.090458488
229,228,9.0,0.468814539
229,277,1.8,0.5
230,229,9.0,0.119991739
231,56,9.0,0.333333333
231,230,9.0,0.294506402
232,58,9.0,0.333333333
232,231,9.0,0.316191656
233,232,9.0,1.090458488
234,4,9.0,1.090458488
235,234,9.0,1.090458488
236,235,9.0,0.119991739
237,236,9.0,0.250722842
238,55,9.0,0.333333333
238,61,9.0,0.333333333
238,237,9.0,0.229037588
239,238,9.0,0.229037588
240,239,9.0,0.468814539
240,299,1.8,0.5
241,240,9.0,0.937835605
242,241,9.0,0.621643949
242,317,1.8,0.5
243,242,9.0,0.937835605
244,243,9.0,0.392606361
244,339,1.8,0.5
245,244,9.0,1.046881454
246,245,9.0,0.621643949
246,347,1.8,0.5
247,246,9.0,1.166873193
248,247,9.0,0.392606361
248,374,1.8,0.5
249,248,9.0,0.894258571
250,249,9.0,0.359768691
251,250,9.0,0.054522924
251,391,1.8,0.5
252,208,7.2,0.333333333
252,251,9.0,0.523337464
253,252,9.0,1.090458488
254,15,5.4,1.0
254,255,5.4,2.0
255,70,1.8,0.5
255,254,5.4,2.0
255,256,5.4,0.5
256,78,1.8,0.5
256,255,5.4,0.5
256,266,5.4,1.920075758
257,14,5.4,1.0
257,258,5.4,2.0
258,68,1.8,0.5
258,257,5.4,2.0
258,259,5.4,0.5
259,80,1.8,0.5
259,258,5.4,0.5
259,267,5.4,1.920075758
260,66,1.8,0.5
260,261,5.4,0.5
261,82,1.8,0.5
261,260,5.4,0.5
261,269,5.4,1.859848485
262,13,5.4,1.0
262,273,5.4,2.0
263,16,5.4,1.0
263,264,5.4,2.0
264,143,1.8,0.5
264,263,5.4,2.0
264,265,5.4,0.5
265,139,1.8,0.5
265,264,5.4,0.5
265,266,5.4,1.0
266,24,12.6,0.149068323
266,39,5.4,1.459848485
266,256,5.4,1.920075758
266,265,5.4,1.0
266,277,5.4,3.579924242
267,24,12.6,0.149068323
267,39,5.4,1.459848485
267,259,5.4,1.920075758
267,268,5.4,1.0
267,281,5.4,1.640151515
268,25,12.6,0.149068323
268,40,5.4,1.320075758
268,267,5.4,1.0
268,287,5.4,1.720075758
269,25,12.6,0.149068323
269,40,5.4,1.320075758
269,261,5.4,1.859848485
269,270,5.4,1.0
269,290,5.4,2.5
270,269,5.4,1.0
270,271,5.4,0.579924242
271,192,1.8,0.5
271,270,5.4,0.579924242
271,272,5.4,0.5
272,186,1.8,0.5
272,271,5.4,0.5
272,273,5.4,2.279924242
273,26,12.6,0.149068323
273,41,5.4,1.0
273,262,5.4,2.0
273,272,5.4,0.279924242
273,292,5.4,2.0
274,26,12.6,0.149068323
274,41,5.4,1.0
274,275,5.4,2.0
274,293,5.4,1.420075758
275,12,5.4,1.0
275,274,5.4,2.0
276,17,5.4,1.0
276,296,5.4,2.0
277,228,1.8,0.5
277,266,5.4,3.579924242
277,299,5.4,0.720075758
278,100,1.8,0.5
278,279,5.4,0.5
279,104,1.8,0.5
279,278,5.4,0.5
279,280,5.4,0.420075758
280,279,5.4,0.420075758
280,300,5.4,0.420075758
281,267,5.4,1.640151515
281,282,5.4,0.579924242
282,281,5.4,0.579924242
282,283,5.4,0.359848485
283,98,1.8,0.5
283,282,5.4,0.359848485
283,284,5.4,0.5
284,106,1.8,0.5
284,283,5.4,0.5
284,285,5.4,0.279924242
285,284,5.4,0.279924242
285,286,5.4,0.579924242
286,285,5.4,0.579924242
286,302,5.4,0.420075758
287,268,5.4,1.720075758
287,288,5.4,0.720075758
288,96,1.8,0.5
288,287,5.4,0.720075758
288,289,5.4,0.5
289,108,1.8,0.5
289,288,5.4,0.5
289,303,5.4,1.220075758
290,94,1.8,0.5
290,269,5.4,2.5
290,291,5.4,0.5
291,110,1.8,0.5
291,290,5.4,0.5
291,304,5.4,1.279924242
292,273,5.4,2.0
292,305,5.4,1.859848485
293,89,1.8,0.5
293,274,5.4,1.420075758
293,294,5.4,0.5
294,115,1.8,0.5
294,293,5.4,0.5
294,295,5.4,0.279924242
295,294,5.4,0.279924242
295,308,5.4,0.720075758
296,276,5.4,2.0
296,297,5.4,0.420075758
296,310,5.4,1.579924242
297,148,1.8,0.5
297,296,5.4,0.420075758
297,298,5.4,0.5
298,134,1.8,0.5
298,297,5.4,0.5
298,299,5.4,1.140151515
299,239,1.8,0.5
299,277,5.4,0.720075758
299,298,5.4,1.140151515
299,300,5.4,1.0
299,315,5.4,1.920075758
300,280,5.4,0.420075758
300,299,5.4,1.0
300,301,5.4,0.5
300,316,5.4,1.920075758
301,300,5.4,0.5
301,302,5.4,0.5
302,27,12.6,0.149068323
302,42,5.4,1.0
302,286,5.4,0.420075758
302,301,5.4,0.5
302,311,5.4,1.140151515
303,27,12.6,0.149068323
303,28,12.6,0.149068323
303,42,5.4,1.0
303,43,5.4,1.540151515
303,289,5.4,1.220075758
303,319,5.4,2.140151515
304,28,12.6,0.149068323
304,43,5.4,1.540151515
304,291,5.4,1.279924242
304,305,5.4,0.920075758
304,312,5.4,0.279924242
305,292,5.4,1.859848485
305,304,5.4,0.920075758
305,306,5.4,0.720075758
305,321,5.4,3.279924242
306,198,1.8,0.5
306,305,5.4,0.720075758
306,307,5.4,0.5
307,180,1.8,0.5
307,306,5.4,0.5
307,308,5.4,0.5
308,29,12.6,0.149068323
308,44,5.4,1.0
308,295,5.4,0.720075758
308,307,5.4,0.5
308,309,5.4,2.0
309,11,5.4,1.0
309,308,5.4,2.0
310,151,1.8,0.5
310,296,5.4,1.579924242
310,313,5.4,0.279924242
311,226,1.8,0.5
311,302,5.4,1.140151515
311,317,5.4,0.720075758
312,304,5.4,0.279924242
312,320,5.4,2.720075758
313,310,5.4,0.279924242
313,314,5.4,0.779924242
313,325,5.4,1.720075758
314,131,1.8,0.5
314,313,5.4,0.279924242
314,315,5.4,1.640151515
315,299,5.4,1.920075758
315,314,5.4,1.720075758
315,316,5.4,2.579924242
315,327,5.4,1.079924242
316,300,5.4,1.920075758
316,315,5.4,1.0
316,317,5.4,0.859848485
316,328,5.4,1.079924242
317,241,1.8,0.5
317,311,5.4,0.720075758
317,316,5.4,1.0
317,318,5.4,1.140151515
317,329,5.4,1.079924242
318,317,5.4,1.140151515
318,319,5.4,1.0
319,303,5.4,2.140151515
319,318,5.4,0.859848485
319,320,5.4,1.0
319,330,5.4,0.859848485
320,312,5.4,2.720075758
320,319,5.4,2.579924242
320,321,5.4,1.720075758
320,332,5.4,0.720075758
321,305,5.4,3.279924242
321,320,5.4,1.640151515
321,333,5.4,0.720075758
321,334,5.4,0.279924242
322,18,5.4,1.0
322,323,5.4,2.0
323,153,1.8,0.5
323,322,5.4,2.0
323,324,5.4,0.5
324,129,1.8,0.5
324,323,5.4,0.5
324,325,5.4,0.579924242
325,313,5.4,1.720075758
325,324,5.4,0.579924242
325,326,5.4,0.859848485
325,340,5.4,0.359848485
326,325,5.4,0.859848485
326,327,5.4,1.579924242
327,315,5.4,1.079924242
327,326,5.4,1.579924242
327,328,5.4,1.0
327,341,5.4,1.0
328,316,5.4,1.079924242
328,327,5.4,1.0
328,329,5.4,1.0
328,342,5.4,1.0
329,31,12.6,0.149068323
329,46,5.4,1.0
329,317,5.4,1.079924242
329,328,5.4,1.0
329,343,5.4,1.0
330,31,12.6,0.149068323
330,46,5.4,1.0
330,224,1.8,0.5
330,319,5.4,0.859848485
330,331,5.4,0.420075758
330,339,5.4,0.640151515
331,330,5.4,0.420075758
331,332,5.4,1.920075758
332,32,12.6,0.149068323
332,47,5.4,0.920075758
332,320,5.4,0.720075758
332,331,5.4,1.920075758
332,345,5.4,0.720075758
333,32,12.6,0.149068323
333,47,5.4,0.940151515
333,321,5.4,0.720075758
333,334,5.4,0.420075758
333,358,5.4,2.079924242
334,321,5.4,0.779924242
334,333,5.4,0.420075758
334,335,5.4,0.279924242
335,200,1.8,0.5
335,334,5.4,0.279924242
335,336,5.4,0.5
336,178,1.8,0.5
336,335,5.4,0.5
336,337,5.4,0.5
337,29,12.6,0.149068323
337,33,12.6,0.149068323
337,44,5.4,3.0
337,48,5.4,1.0
337,336,5.4,0.5
337,338,5.4,2.0
338,10,5.4,1.0
338,337,5.4,2.0
339,243,1.8,0.5
339,330,5.4,0.640151515
339,344,5.4,0.420075758
340,30,12.6,0.149068323
340,45,5.4,1.0
340,325,5.4,0.359848485
340,351,5.4,1.720075758
341,30,12.6,0.149068323
341,45,5.4,1.0
341,327,5.4,1.0
341,342,5.4,1.0
341,353,5.4,2.0
342,328,5.4,1.0
342,341,5.4,1.0
342,343,5.4,1.0
342,354,5.4,2.0
343,329,5.4,1.0
343,342,5.4,1.0
343,344,5.4,2.0
343,355,5.4,2.0
344,339,5.4,0.420075758
344,343,5.4,2.0
344,356,5.4,2.0
345,332,5.4,0.720075758
345,346,5.4,0.640151515
346,222,1.8,0.5
346,345,5.4,0.640151515
346,347,5.4,1.079924242
347,245,1.8,0.5
347,346,5.4,1.079924242
347,357,5.4,0.279924242
348,18,5.4,1.0
348,349,5.4,2.0
349,156,1.8,0.5
349,348,5.4,2.0
349,350,5.4,0.5
350,126,1.8,0.5
350,349,5.4,0.5
350,351,5.4,0.859848485
351,340,5.4,1.720075758
351,350,5.4,0.859848485
351,352,5.4,0.720075758
351,367,5.4,2.0
352,351,5.4,0.720075758
352,353,5.4,1.420075758
353,341,5.4,2.0
353,352,5.4,1.420075758
353,354,5.4,1.0
353,369,5.4,2.0
354,342,5.4,2.0
354,353,5.4,1.0
354,355,5.4,1.0
354,370,5.4,2.0
355,343,5.4,2.0
355,354,5.4,1.0
355,356,5.4,2.0
355,371,5.4,2.0
356,344,5.4,2.0
356,355,5.4,2.0
356,357,5.4,2.0
356,372,5.4,2.0
357,347,5.4,0.279924242
357,356,5.4,2.0
357,358,5.4,2.0
357,373,5.4,2.0
358,333,5.4,2.079924242
358,357,5.4,2.0
358,359,5.4,0.720075758
358,363,5.4,1.720075758
359,202,1.8,0.5
359,358,5.4,0.720075758
359,360,5.4,0.5
360,176,1.8,0.5
360,359,5.4,0.5
360,361,5.4,0.5
361,33,12.6,0.149068323
361,48,5.4,1.0
361,360,5.4,0.5
361,362,5.4,2.0
361,378,5.4,2.0
362,10,5.4,1.0
362,361,5.4,2.0
363,358,5.4,1.720075758
363,375,5.4,0.279924242
364,19,5.4,1.0
364,365,5.4,2.0
365,158,1.8,0.5
365,364,5.4,2.0
365,366,5.4,0.5
366,124,1.8,0.5
366,365,5.4,0.5
366,367,5.4,0.859848485
367,351,5.4,2.0
367,366,5.4,0.859848485
367,368,5.4,0.720075758
367,384,5.4,2.279924242
368,367,5.4,0.720075758
368,369,5.4,1.420075758
369,34,12.6,0.149068323
369,49,5.4,1.0
369,353,5.4,2.0
369,368,5.4,1.420075758
369,370,5.4,1.0
370,354,5.4,2.0
370,369,5.4,1.0
370,371,5.4,1.0
370,386,5.4,2.0
371,355,5.4,2.0
371,370,5.4,1.0
371,372,5.4,2.0
371,387,5.4,2.0
372,356,5.4,2.0
372,371,5.4,2.0
372,373,5.4,2.0
372,388,5.4,2.0
373,35,12.6,0.149068323
373,50,5.4,1.0
373,357,5.4,2.0
373,372,5.4,2.0
373,374,5.4,1.420075758
374,247,1.8,0.5
374,373,5.4,1.420075758
374,375,5.4,0.579924242
375,219,1.8,0.5
375,363,5.4,0.279924242
375,374,5.4,0.579924242
375,376,5.4,0.720075758
375,390,5.4,2.0
376,204,1.8,0.5
376,375,5.4,0.720075758
376,377,5.4,0.5
377,174,1.8,0.5
377,376,5.4,0.5
377,378,5.4,0.5
378,36,12.6,0.149068323
378,51,5.4,1.0
378,361,5.4,2.0
378,377,5.4,0.5
378,379,5.4,2.0
379,9,5.4,1.0
379,378,5.4,2.0
380,19,5.4,1.0
380,381,5.4,2.0
381,160,1.8,0.5
381,380,5.4,2.0
381,382,5.4,0.5
382,122,1.8,0.5
382,381,5.4,0.5
382,383,5.4,0.579924242
383,382,5.4,0.579924242
383,384,5.4,0.420075758
384,367,5.4,2.279924242
384,383,5.4,0.420075758
384,385,5.4,2.0
384,401,5.4,2.0
385,34,12.6,0.149068323
385,49,5.4,1.0
385,384,5.4,2.0
385,386,5.4,1.0
385,402,5.4,2.0
386,370,5.4,2.0
386,385,5.4,1.0
386,387,5.4,1.0
386,403,5.4,2.0
387,371,5.4,2.0
387,386,5.4,1.0
387,388,5.4,2.0
387,404,5.4,2.0
388,372,5.4,2.0
388,387,5.4,2.0
388,389,5.4,2.0
388,405,5.4,2.0
389,35,12.6,0.149068323
389,50,5.4,1.0
389,388,5.4,2.0
389,390,5.4,2.0
389,406,5.4,2.0
390,375,5.4,2.0
390,389,5.4,2.0
390,391,5.4,0.720075758
390,407,5.4,2.579924242
391,249,1.8,0.5
391,390,5.4,0.720075758
391,392,5.4,0.420075758
392,207,1.8,0.5
392,391,5.4,0.420075758
392,393,5.4,0.420075758
393,170,1.8,0.5
393,392,5.4,0.420075758
393,394,5.4,0.140151515
394,36,12.6,0.149068323
394,51,5.4,1.0
394,393,5.4,0.140151515
394,395,5.4,2.0
394,396,5.4,0.579924242
395,9,5.4,1.0
395,394,5.4,2.0
396,215,1.8,0.5
396,394,5.4,0.579924242
396,410,5.4,2.0
397,20,5.4,1.0
397,398,5.4,2.0
398,397,5.4,2.0
398,399,5.4,0.579924242
399,163,1.8,0.5
399,398,5.4,0.579924242
399,400,5.4,0.5
400,119,1.8,0.5
400,399,5.4,0.5
400,401,5.4,0.140151515
401,37,12.6,0.149068323
401,52,5.4,1.0
401,384,5.4,2.0
401,400,5.4,0.140151515
402,37,12.6,0.149068323
402,52,5.4,1.0
402,385,5.4,2.0
402,403,5.4,1.0
402,412,5.4,2.0
403,386,5.4,2.0
403,402,5.4,1.0
403,404,5.4,1.0
404,387,5.4,2.0
404,403,5.4,1.0
404,405,5.4,2.0
404,413,5.4,2.0
405,388,5.4,2.0
405,404,5.4,2.0
405,406,5.4,2.0
405,414,5.4,2.0
406,38,12.6,0.149068323
406,53,5.4,1.079924242
406,389,5.4,2.0
406,405,5.4,2.0
406,415,5.4,2.0
407,38,12.6,0.149068323
407,53,5.4,1.059848485
407,390,5.4,2.579924242
407,408,5.4,1.079924242
407,416,5.4,2.0
408,211,1.8,0.5
408,407,5.4,1.079924242
408,409,5.4,0.5
409,167,1.8,0.5
409,408,5.4,0.5
409,410,5.4,0.220075758
410,396,5.4,2.0
410,409,5.4,0.220075758
410,411,5.4,2.0
411,8,5.4,1.0
411,410,5.4,2.0
412,21,5.4,1.0
412,402,5.4,2.0
413,21,5.4,1.0
413,404,5.4,2.0
414,22,5.4,1.0
414,405,5.4,2.0
415,22,5.4,1.0
415,406,5.4,2.0
416,23,5.4,1.0
416,407,5.4,2.0
117,1,9.0,1.090458488
87,2,9.0,1.090458488
74,3,9.0,1.090458488
233,4,9.0,1.090458488
165,5,9.0,1.090458488
213,6,9.0,1.090458488
253,7,9.0,1.090458488
56,54,9.0,0.333333333
230,54,9.0,0.333333333
59,55,9.0,0.333333333
102,56,9.0,0.333333333
54,57,9.0,0.333333333
235,57,9.0,0.333333333
137,58,9.0,0.333333333
145,58,9.0,0.333333333
146,59,9.0,0.333333333
102,60,9.0,0.333333333
230,60,9.0,0.333333333
136,61,9.0,0.333333333
2,62,9.0,1.090458488
62,63,7.2,1.090458488
63,64,7.2,0.545229244
189,64,7.2,0.333333333
64,65,7.2,0.349029327
65,66,7.2,0.229037588
66,67,7.2,0.272614622
260,67,1.8,0.5
67,68,7.2,1.755679471
68,69,7.2,0.272614622
258,69,1.8,0.5
69,70,7.2,1.406650145
70,71,7.2,0.272614622
255,71,1.8,0.5
71,72,7.2,0.272614622
72,73,7.2,0.468814539
141,73,7.2,0.333333333
73,74,7.2,1.090458488
3,75,9.0,1.090458488
75,76,7.2,1.090458488
76,77,7.2,0.468814539
141,77,7.2,0.333333333
77,78,7.2,0.272614622
78,79,7.2,0.272614622
256,79,1.8,0.5
79,80,7.2,1.406650145
80,81,7.2,0.272614622
259,81,1.8,0.5
81,82,7.2,1.755679471
82,83,7.2,0.272614622
261,83,1.8,0.5
83,84,7.2,0.229037588
84,85,7.2,0.349029327
85,86,7.2,0.545229244
189,86,7.2,0.333333333
86,87,7.2,1.090458488
1,88,9.0,1.090458488
88,89,7.2,1.090458488
89,90,7.2,0.272614622
293,90,1.8,0.5
90,91,7.2,0.229037588
91,92,7.2,0.316191656
92,93,7.2,0.349029327
183,93,7.2,0.333333333
195,93,7.2,0.333333333
93,94,7.2,0.697852127
94,95,7.2,0.272614622
290,95,1.8,0.5
95,96,7.2,1.243081371
96,97,7.2,0.272614622
288,97,1.8,0.5
97,98,7.2,0.621643949
98,99,7.2,0.272614622
283,99,1.8,0.5
99,100,7.2,0.392606361
100,101,7.2,0.272614622
278,101,1.8,0.5
101,102,7.2,0.774266832
59,103,9.0,0.333333333
61,103,9.0,0.333333333
237,103,9.0,0.333333333
103,104,7.2,0.774266832
104,105,7.2,0.272614622
279,105,1.8,0.5
105,106,7.2,0.392606361
106,107,7.2,0.272614622
284,107,1.8,0.5
107,108,7.2,0.621643949
108,109,7.2,0.272614622
289,109,1.8,0.5
109,110,7.2,1.243081371
110,111,7.2,0.272614622
291,111,1.8,0.5
111,112,7.2,0.697852127
112,113,7.2,0.349029327
183,113,7.2,0.333333333
195,113,7.2,0.333333333
113,114,7.2,0.316191656
114,115,7.2,0.229037588
115,116,7.2,0.272614622
294,116,1.8,0.5
116,117,7.2,1.090458488
5,118,9.0,1.090458488
118,119,7.2,1.090458488
119,120,7.2,0.272614622
400,120,1.8,0.5
120,121,7.2,0.545229244
121,122,7.2,0.621643949
122,123,7.2,0.272614622
382,123,1.8,0.5
123,124,7.2,0.8614209
124,125,7.2,0.272614622
366,125,1.8,0.5
125,126,7.2,0.8614209
126,127,7.2,0.272614622
350,127,1.8,0.5
127,128,7.2,0.621643949
128,129,7.2,0.316191656
129,130,7.2,0.272614622
324,130,1.8,0.5
130,131,7.2,0.8614209
131,132,7.2,0.316191656
314,132,1.8,0.5
132,133,7.2,0.468814539
133,134,7.2,0.349029327
134,135,7.2,0.272614622
298,135,1.8,0.5
135,136,7.2,0.152622883
136,137,7.2,0.632383313
60,138,9.0,0.333333333
137,138,7.2,0.130937629
236,138,9.0,0.333333333
138,139,7.2,1.090458488
139,140,7.2,0.272614622
265,140,1.8,0.5
140,141,7.2,0.937835605
72,142,7.2,0.333333333
76,142,7.2,0.333333333
142,143,7.2,0.937835605
143,144,7.2,0.272614622
264,144,1.8,0.5
144,145,7.2,0.894258571
145,146,7.2,0.119991739
57,147,9.0,0.333333333
146,147,7.2,0.763320942
147,148,7.2,0.229037588
148,149,7.2,0.272614622
