init_node,term_node,capacity,length
25,22,1.5066920419999998,0.190037
22,28,2.080186891,0.259227
28,22,2.1020730509999996,0.257355
22,29,5.8798624760000004,0.096405
29,22,1.423685694,0.093035
22,40,2.2108025710000003,0.456892
40,22,1.664447067,0.446617
23,24,8.0,0.036689
24,23,8.0,0.035789
23,31,1.1393174959999999,0.458553
31,23,0.904280899,0.466823
24,25,4.5,0.026787
25,24,3.6,0.026642
24,26,7.98028931,0.023691
26,24,8.0,0.015691
24,33,3.559213894,0.171367
33,24,5.555608069,0.17295
25,26,1.75,0.060308
26,25,2.372861722,0.056615
26,27,1.316906179,0.050181
27,26,0.985369469,0.050573
26,28,7.731459177,0.027124
28,26,8.332485651,0.023266
27,28,2.020835188,0.04948
28,27,1.9063786660000002,0.048994
27,33,2.6563044610000004,0.227875
33,27,2.787223131,0.238906
27,35,1.139332695,0.461083
35,27,1.388367239,0.464692
28,37,6.458755608000001,0.116163
37,28,7.118104798,0.122455
29,41,4.266616474,0.078876
41,29,6.304110442,0.084891
29,49,1.060253828,0.862656
49,29,1.117781868,0.877102
30,31,6.0,0.032359
31,30,6.0,0.032998
30,60,4.882896652,0.114214
60,30,4.803175011,0.117691
31,32,6.0,0.060154
32,31,5.459290242,0.060355
31,60,0.965579981,0.176349
60,31,1.055139505,0.179319
32,33,2.4237448049999997,0.096065
33,32,2.621675199,0.098353
32,34,2.9873271490000004,0.026445
34,32,4.7903457529999995,0.026979
32,60,2.599322451,0.11114
60,32,2.6147362149999998,0.108607
33,34,5.444285031000001,0.067686
34,33,5.4,0.067929
34,35,5.470884476,0.13036
35,34,6.0,0.129099
34,60,5.898700106000001,0.140899
60,34,5.78405003,0.207543
35,36,5.276538355,0.09253
36,35,6.0,0.096513
35,71,1.957382228,0.119188
71,35,1.5762431449999998,0.120317
36,43,0.875,0.23694
43,36,0.875,0.227668
36,44,6.0,0.113432
44,36,5.867300085,0.10728
36,71,1.058124261,0.20547
71,36,1.017341605,0.203815
37,38,5.815725402,0.047781
38,37,5.772233647,0.054144
37,42,1.816106654,0.169636
42,37,1.809167052,0.172289
38,39,5.733056963,0.04926
39,38,6.422206060000001,0.048731
38,42,6.0,0.086214
42,38,5.747695049,0.101052
39,40,7.532420303,0.018762
40,39,8.352013267,0.019853
39,48,4.3711327529999995,0.245609
48,39,5.233501727,0.255123
40,41,6.101889600000001,0.052977
41,40,6.005599197,0.049483
40,48,1.003245496,0.624606
48,40,1.688727995,0.646177
41,49,2.18867685,0.573397
49,41,2.45963678,0.5831
42,43,1.518910867,0.082974
43,42,1.921767308,0.086944
42,45,6.0,0.084105
45,42,6.0,0.08731
43,44,1.75,0.065806
44,43,1.76371284,0.068433
43,45,1.828679811,0.107891
45,43,1.2137434599999999,0.108835
44,46,6.0,0.045602
46,44,6.0,0.045613
44,54,1.745164116,0.262186
54,44,1.8609924880000002,0.262637
45,46,6.0,0.026912
46,45,4.768359064999999,0.027521
45,47,2.462627044,0.076107
47,45,2.262705882,0.081303
46,47,6.0,0.040511
47,46,4.074530263,0.040089
46,54,5.972591129,0.157395
54,46,5.779651242,0.153831
47,48,1.2850115290000002,0.274471
48,47,0.825,0.269385
47,74,6.0,0.07844
74,47,3.317446565,0.079733
48,49,2.1210198350000002,0.246443
49,48,2.063929153,0.244123
48,51,2.121346035,0.575118
51,48,2.173005205,0.570832
48,52,1.884440173,0.238143
52,48,2.415093648,0.240483
48,53,2.164620818,0.201959
53,48,2.0,0.204566
48,54,1.893169265,0.355088
54,48,1.755928729,0.361317
48,74,6.0,0.111477
74,48,6.0,0.097934
49,50,2.664129248,0.187173
50,49,2.928314458,0.188388
49,73,0.825846988,0.249452
73,49,0.825,0.253689
50,51,2.0,0.288628
51,50,2.0,0.294092
50,73,0.825,0.211827
73,50,0.825,0.211827
51,52,2.0,0.213478
52,51,2.0,0.21205
52,53,2.0,0.124295
53,52,2.0,0.124731
53,54,2.0,0.200888
54,53,2.0,0.204645
55,57,2.0,0.187275
57,55,2.0,0.183314
56,57,2.0,0.158886
57,56,2.0,0.162691
57,58,2.0,0.162372
58,57,2.0,0.157897
57,59,2.0,0.266545
59,57,2.0,0.263774
58,59,2.0,0.13057
59,58,2.0,0.135526
59,60,2.0,0.11898
60,59,2.0,0.124498
59,72,2.0,0.080857
72,59,2.0,0.081947
60,61,2.0,0.649394
61,60,2.0,0.649959
60,63,2.0,0.135342
63,60,2.0,0.13867
60,65,2.0,0.244542
65,60,2.0,0.240716
60,67,2.0,0.126147
67,60,2.0,0.130509
60,69,2.075828365,0.192359
69,60,2.333427091,0.18314
60,71,1.400478511,0.339724
71,60,1.400154626,0.33739
60,72,2.0,0.112396
72,60,2.0,0.109156
62,63,2.0,0.052273
63,62,2.0,0.058217
63,65,2.0,0.026395
65,63,2.0,0.028621
64,65,2.0,0.082705
65,64,2.0,0.08412
65,66,2.0,0.088355
66,65,2.0,0.096311
67,68,2.0,0.039206
68,67,2.0,0.041562
67,69,2.0,0.279353
69,67,2.0,0.281204
69,70,3.179348082,0.077249
70,69,2.9197455580000002,0.082871
69,71,0.875,0.23159
71,69,1.1452063399999999,0.236104
